0.0,780
0.1,806
0.1,805
0.2,803
0.2,804
0.3,806
0.3,807
0.4,804
0.4,803
0.5,804
0.5,807
0.6,809
0.6,809
0.7,809
0.7,812
0.8,814
0.8,815
0.9,813
0.9,813
1.0,814
1.0,815
1.1,815
1.1,814
1.2,813
1.2,815
1.3,813
1.3,815
1.4,811
1.4,811
1.5,815
1.5,812
1.6,813
1.6,812
1.7,818
1.7,810
1.8,816
1.8,814
1.9,812
1.9,814
2.0,813
2.0,815
2.1,813
2.1,812
2.2,813
2.2,815
2.3,815
2.3,813
2.4,812
2.4,814
2.5,814
2.5,815
2.6,813
2.6,812
2.7,814
2.7,815
2.8,815
2.8,812
2.9,813
2.9,815
3.0,815
3.0,813
3.1,812
3.1,813
3.2,814
3.2,814
3.3,813
3.3,812
3.4,814
3.4,815
3.5,815
3.5,813
3.6,812
3.6,813
3.7,815
3.7,815
3.8,813
3.8,813
3.9,814
3.9,815
4.0,814
4.0,812
4.1,813
4.1,814
4.2,815
4.2,814
4.3,812
4.3,814
4.4,815
4.4,816
4.5,812
4.5,809
4.6,806
4.6,815
4.7,818
4.7,815
4.8,813
4.8,816
4.9,817
4.9,814
5.0,812
5.0,813
5.1,814
5.1,814
5.2,814
5.2,812
5.3,812
5.3,814
5.4,815
5.4,813
5.5,811
5.5,812
5.6,814
5.6,814
5.7,813
5.7,812
5.8,813
5.8,814
5.9,815
5.9,812
6.0,810
6.0,806
6.1,801
6.1,804
6.2,807
6.2,810
6.3,812
6.3,813
6.4,811
6.4,810
6.5,811
6.5,812
6.6,813
6.6,811
6.7,810
6.7,811
6.8,813
6.8,813
6.9,811
6.9,811
7.0,812
7.0,812
7.1,813
7.1,811
7.2,809
7.2,810
7.3,815
7.3,813
7.4,812
7.4,812
7.5,813
7.5,816
7.6,813
7.6,808
7.7,812
7.7,810
7.8,813
7.8,810
7.9,809
7.9,810
8.0,812
8.0,810
8.1,810
8.1,808
8.2,810
8.2,811
8.3,811
8.3,809
8.4,809
8.4,811
8.5,812
8.5,811
8.6,809
8.6,808
8.7,810
8.7,811
8.8,811
8.8,809
8.9,810
8.9,811
9.0,812
9.0,810
9.1,809
9.1,809
9.2,812
9.2,812
9.3,810
9.3,809
9.4,810
9.4,811
9.5,812
9.5,809
9.6,808
9.6,810
9.7,811
9.7,811
9.8,809
9.8,809
9.9,810
9.9,812
10.0,809
10.0,809
10.1,809
10.1,815
10.2,814
10.2,810
10.3,807
10.3,809
10.4,813
10.4,807
10.5,808
10.5,811
10.6,810
10.6,811
10.7,809
10.7,809
10.8,810
10.8,811
10.9,810
10.9,808
11.0,809
11.0,811
11.1,811
11.1,809
11.2,809
11.2,811
11.3,811
11.3,810
11.4,809
11.4,811
11.5,811
11.5,810
11.6,808
11.6,809
11.7,811
11.7,811
11.8,809
11.8,809
11.9,810
11.9,811
12.0,809
12.0,807
12.1,809
12.1,812
12.2,811
12.2,808
12.3,809
12.3,810
12.4,812
12.4,810
12.5,808
12.5,807
12.6,812
12.6,812
12.7,805
12.7,809
12.8,810
12.9,816
12.9,811
13.0,811
13.0,812
13.1,808
13.1,810
13.2,806
13.2,809
13.3,811
13.3,810
13.4,809
13.4,809
13.5,810
13.5,810
13.6,809
13.6,808
13.7,810
13.7,811
13.8,809
13.8,808
13.9,809
13.9,811
14.0,810
14.0,809
14.1,808
14.1,810
14.2,811
14.2,810
14.3,807
14.3,809
14.4,810
14.4,810
14.5,808
14.5,809
14.6,810
14.6,811
14.7,808
14.7,807
14.8,809
14.8,810
14.9,810
